Código;Ficha;Dependência;Nomenclatura;Conta-contábil;QNT SISCOFIS;Valor Un;Tipo;Prateleira;Obs
129;;RESERVA 3;POLACA;;;;MATERIAL;;
130;;RESERVA 3;BARRACA 10 PRAÇAS;;;;MATERIAL;3;
131;;;corda;;;;EQUIPAMENTO;;
132;;;corda;;;;MATERIAL;;
133;;;estaca;;;;MATERIAL;;
134;;;Estal para toldo;;;;MATERIAL;;
135;;;barraca canadense;;;;MATERIAL;;
136;;;Barraca canadense;;;;MATERIAL;;
137;;;Conexão canadense;;;;MATERIAL;;
138;;;estal canadense;;;;MATERIAL;;
139;;;Mangueira de Jardinagem;;;;MATERIAL;;
140;;;Mangueira de jardinagem;;;;MATERIAL;;
141;000;RESERVA 3;Mangueira de jardinagem;;;;MATERIAL;;
142;000;RESERVA 3;MARRETA;;;;MATERIAL;;
143;;RESERVA 3;MESA BRANCA;;;;MATERIAL;;
144;00;RESERVA 2;CHAPELARIA;;0;;MATERIAL;00;
145;000;RESERVA 4;CADEIRA DE PLASTICO;;0;;MATERIAL;00;
146;;RESERVA 1;CELOTEX;;;;MATERIAL;;QUADRO MURAL (CELOTEX)
147;10000;RESERVA 1;QUADRO MURAL;;;;MATERIAL;;
148;0777;RESERVA 1;TALHER ARTICULADO;;;;EQUIPAMENTO;;
149;000;RESERVA 1;PORTA RÁDIO;;;;EQUIPAMENTO;;
150;000;RESERVA 1;CAMEL BACK;;0;;EQUIPAMENTO;;
151;000;RESERVA 1;LUVA DE LÃ;;;;FARDAMENTO;;
153;;RESERVA 1;JAPONA DE CAPANHA (NOVA);;;;FARDAMENTO;;
154;2354;RESERVA 1;CHINELO;;1;;MATERIAL;1;
155;;RESERVA 1;SHORTS;;1;;MATERIAL;1;
156;;RESERVA 1;MANTA VO;;1;;MATERIAL;1;
159;005;RESERVA 1;P CAGUE;;5;;MATERIAL;5;
160;;RESERVA 1;t;;;;EQUIPAMENTO;;
