Código;SALDO;DATA;USO;Obs
1;5352905.0000;2021-10-04 00:00:00;PERMANENTE;
2;429726.5500;2021-10-04 00:00:00;DURADOURO;
3;5353373.9900;2021-11-01 00:00:00;PERMANENTE;468,99 reais, entrada de TALHA MANUAL DE CORRENTE CAPACIDADE 0,5 TON ESFORÇO MAX ACIONAMENTO 15KG / - CONFORME NF Nº 1044/BCAD, DE 18/10/2021 DA(O) ISZA COMERCIO E ATACADO - BADM Nº 48, DE 20/10/2021, DA(O) 058107 - FICHA 4625/546
5;5371367.9900;2021-11-25 00:00:00;PERMANENTE;TREM 003/2021 - 2 BARRACAS MODULARES NOVAS R$ 17.994,00
6;5444667.8100;2022-03-07 00:00:00;PERMANENTE;diferença de 73.299,82 reais, armário de aço: 57.800 reais, desfribilador: 15.840,00
7;386997.4500;2022-03-07 00:00:00;DURADOURO;
